date,MSAVI_mean
2017-04-04,6.243432987078958e-05
2017-04-24,7.635623980150797e-06
2017-05-14,0.0002340734585908
2017-06-03,2.621449363916206e-05
2017-06-23,3.3002777962040645e-06
2017-07-08,1.5504867410919815e-06
2017-07-13,6.580324317210357e-05
2017-07-28,4.233168906688668e-06
2017-08-02,0.0002176014885502
2017-08-17,3.5242847761409195e-05
2017-08-22,1.793392259108041e-06
2017-09-06,1.5858833898539837e-05
2017-09-11,0.0002051876362924
2017-09-26,0.0002310236984789
2017-10-01,5.633779005057334e-05
2017-10-16,0.0002118853686835
2017-10-21,4.928227475949472e-05
2017-11-05,1.09325654040328e-05
2017-11-10,0.0002622300030062
2017-11-25,0.000290201255106
2017-11-30,3.0132658667532245e-06
2017-12-05,0.0003390059989185
2017-12-15,0.0003109603612545
2017-12-20,0.0001243973921358
2017-12-25,0.0003021184283244
2018-01-04,0.0002935500335852
2018-01-09,0.0002969576074836
2018-01-14,0.0003023610144785
2018-01-24,0.0004533916514902
2018-01-29,0.000300169316767
2018-02-03,0.0002937324549984
2018-02-08,9.605756382492173e-06
2018-02-13,0.0002795618462104
2018-02-18,0.0002926123754997
2018-02-23,0.0002871847653772
2018-02-28,0.0002980592503528
2018-03-05,0.0002860502587545
2018-03-10,0.000186295118603
2018-03-15,0.0002563064202655
2018-03-20,0.0002853414095889
2018-03-25,0.0002829659828268
2018-03-30,0.0002780474633153
2018-04-04,0.0002706241705984
2018-04-09,0.0001001649010953
2018-04-14,0.0002562476239921
2018-04-19,0.0001507156308099
2018-04-24,8.760315247830646e-05
2018-04-29,9.474860676474731e-05
2018-05-04,0.000163517248337
2018-05-09,0.0001207901595781
2018-05-14,0.0001830884708957
2018-05-19,0.0001511396778832
2018-05-24,8.62339281156624e-05
2018-05-29,-4.497783750999082e-06
2018-06-03,3.016768866221081e-06
2018-06-08,-4.818294379768774e-06
2018-06-13,-1.204218820357004e-06
2018-06-18,-4.8018964290402885e-06
2018-06-23,-1.8228076503249125e-06
2018-06-28,-5.15442003634313e-07
2018-07-03,3.616803568662593e-05
2018-07-08,-4.8756886919158505e-06
2018-07-13,-6.213988400306514e-06
2018-07-18,3.295341416508915e-06
2018-07-23,-3.197941733956732e-06
2018-07-28,-2.728962073538013e-06
2018-08-02,4.233891537656059e-06
2018-08-07,-1.8112441930316704e-06
2018-08-12,-6.7169975582318965e-06
2018-08-17,-4.07117198513424e-06
2018-08-22,6.601802955424179e-07
2018-08-27,-3.951217860835908e-06
2018-09-01,0.0001396554629637
2018-09-06,0.0002440408677002
2018-09-11,0.0002626422998537
2018-09-21,0.0001634186670635
2018-09-26,2.278841429513032e-05
2018-10-01,0.0002430279873303
2018-10-06,3.323017583400956e-06
2018-10-11,9.008623407974288e-05
2018-10-16,4.742740040995862e-05
2018-10-21,0.0001957601451882
2018-10-26,0.0002715311139538
2018-10-31,0.0002618836708785
2018-11-05,0.0002701685922926
2018-11-10,0.0002809623352718
2018-11-15,0.0002825166930708
2018-11-20,0.0002457312831464
2018-11-25,0.0002539900535691
2018-11-30,3.9608635293219714e-05
2018-12-10,0.0002820871409792
2018-12-15,0.0001764116525468
2018-12-20,0.000278540918783
2018-12-25,6.782380460068133e-05
2018-12-30,0.0001266866259192
2019-01-04,0.0002912034882068
2019-01-09,0.0002927069180789
2019-01-14,0.00026822983343
2019-01-19,0.0002879369544206
2019-01-24,0.0002941470481945
2019-01-29,0.0002839097890594
2019-02-03,0.000289567467418
2019-02-08,0.000296097522153
2019-02-13,0.0002919569237258
2019-02-18,0.0003281563010396
2019-02-23,0.000285047506064
2019-02-28,0.0002186215559778
2019-03-05,0.0002139992406285
2019-03-10,0.0002485462850282
2019-03-15,0.0002783544146559
2019-03-20,0.0001247183229893
2019-03-25,0.0002697828482358
2019-03-30,0.0002232535516757
2019-04-04,0.0002254328301417
2019-04-09,6.791072684829114e-06
2019-04-14,0.0001544740285719
2019-04-19,0.0002639875400405
2019-04-24,0.0001957192762
2019-04-29,0.0001908150098205
2019-05-04,0.0001674985381622
2019-05-09,8.655314610762597e-05
2019-05-14,2.325256560716973e-05
2019-05-19,0.0002591409137573
2019-05-24,1.5277960269183048e-05
2019-05-29,0.0002116187442654
2019-06-03,-2.7397774181826174e-06
2019-06-08,0.0002649435813804
2019-06-13,4.471243037856429e-05
2019-06-18,9.671536990203092e-05
2019-06-23,2.878585683458373e-07
2019-06-28,0.0001498785937367
2019-07-03,-2.147376066778328e-06
2019-07-08,1.653407811253608e-05
2019-07-13,0.0001914655354242
2019-07-18,3.5866027278578124e-05
2019-07-23,-1.0112586774504162e-06
2019-07-28,6.169234712002667e-06
2019-08-02,3.188743156163294e-05
2019-08-07,-1.934274332559565e-06
2019-08-12,8.706327169008261e-06
2019-08-17,0.0001169544961665
2019-08-22,1.6993711575625824e-06
2019-08-27,0.0001320629868577
2019-09-01,2.10720323034726e-06
2019-09-06,9.739230819576918e-06
2019-09-11,2.169778010022891e-05
2019-09-16,4.127958704222442e-05
2019-09-21,0.0002538407924448
2019-09-26,2.65787756964699e-05
2019-10-01,1.0166252385757256e-05
2019-10-06,2.801723856094833e-05
2019-10-11,8.393426501288413e-05
2019-10-16,4.332754658225031e-05
2019-10-21,-4.711930421805702e-06
2019-10-26,1.70067771252068e-05
2019-10-31,2.721379757618376e-06
2019-11-05,0.0002762544308956
2019-11-10,-2.269375091368725e-06
2019-11-15,2.093658663830908e-05
2019-11-20,8.156176365936928e-05
2019-11-25,0.0001638009205468
2019-11-30,2.608474964651308e-06
2019-12-05,0.0002825723801718
