date,ndvi_mean,ndvi_min,ndvi_max,ndre_mean,ndre_min,ndre_max,msavi_mean,msavi_min,msavi_max,reci_mean,reci_min,reci_max,evi_mean,evi_min,evi_max,cab_mean,cab_min,cab_max
7/20/2021,-0.010674659,-0.025605105,0.018162353,0.011669552,-0.004056957,0.053656228,0.489306029,0.474376435,0.518142542,-0.021032488,-0.049931705,0.036996659,0.089865792,-0.080236431,0.314478252,43.96431519,12.28387494,86.08846943
7/25/2021,0.194720755,0.157585189,0.361774743,0.155323164,0.115333334,0.260041475,0.694659043,0.657528323,0.861682841,0.48566647,0.374127299,1.13368988,-7.543527876,-193.1034483,22.57352941,2683.004462,-2327.617965,101011.3881
7/30/2021,0.100013966,0.06723503,0.15276134,0.08477092,0.053448122,0.127123907,0.599957334,0.567180083,0.652701958,0.222871035,0.144162863,0.360609978,-0.609098312,-0.915492958,-0.423583984,-84.76200886,-140.1217766,-50.98545565
8/4/2021,0.070634226,0.025686137,0.192395285,0.069129218,0.023882428,0.225399449,0.570591488,0.525663016,0.692326725,0.155542663,0.052726615,0.476459056,-0.548497676,-3.268983269,15.63818182,-59.19422944,-541.9957881,3839.459962
8/9/2021,0.269892146,0.189633369,0.345462412,0.214066904,0.161011726,0.272429347,0.769820868,0.689578889,0.845370872,0.745022303,0.468018711,1.055592299,-13.2495963,-511.25,333.3333333,38412.19188,-1266.520832,864647.059
8/14/2021,0.073269448,0.069054253,0.079618014,0.066416861,0.060995359,0.073117815,0.573238248,0.56902375,0.579586383,0.15814262,0.148352921,0.173010811,-0.596738003,-0.624761177,-0.571327182,-82.56364688,-87.65452076,-77.94396288
8/19/2021,0.059945178,0.057354014,0.061941385,0.053435583,0.049787808,0.056342397,0.559916009,0.557325007,0.561912185,0.127539019,0.121687278,0.132062927,-0.413753362,-0.432356005,-0.391823985,-49.18566844,-52.59055117,-45.1693161
8/24/2021,0.395429065,0.192093253,0.737836957,0.290314043,0.150825709,0.558475435,0.895315217,0.692005575,1.237698498,1.384210693,0.475533247,5.628839493,2.079055903,0.470573628,18.25367647,443.6697764,115.5912308,4648.103072
8/29/2021,0.351728876,0.233830839,0.5689255,0.267007779,0.175620764,0.43808049,0.851634666,0.73374393,1.068812665,1.10565606,0.61038959,2.639569044,5.5210743,-126.5930979,116.8666667,8360.754548,-2220.777683,71930.15861
9/3/2021,0.126804958,0.109181732,0.165586174,0.119859105,0.103707753,0.152049124,0.626765377,0.609145508,0.665541225,0.290909187,0.245126829,0.39689219,-7.846574441,-281.25,8.93194707,33364.4612,-821.7969796,2852289.757
