date,NDVI_mean,NDVI_min,NDVI_max,NDSI_mean,NDSI_min,NDSI_max,EVI_mean,EVI_min,EVI_max,NDRE_mean,NDRE_min,NDRE_max,RECI_mean,RECI_min,RECI_max,CAB_mean,CAB_min,CAB_max,SAVI_mean,SAVI_min,SAVI_max,DWSI_mean,DWSI_min,DWSI_max,MSAVI_mean,MSAVI_min,MSAVI_max
2019-06-28,0.3723873722296066,0.018022111161593215,0.7169014084507043,-0.3723873722296066,-0.7169014084507043,-0.018022111161593215,-11559.952732312571,-49820.5,3591.5,0.37237448787296934,0.018021892813656657,0.7168812146136728,2.540034475348882,1.0367057371992596,6.064676616915423,0.6845232052063849,0.32848151062155784,1.0071360608943865,0.5585206678989896,0.027032143262787262,1.0752574597306574,0.21477102681702448,-0.13800229621125143,0.5311515151515152,0.0001498785937367976,5.266418106888857e-06,0.0004056120240546901
2019-09-21,0.6380035674089756,0.04052432382534847,0.8214767688451899,-0.6380035674089756,-0.8214767688451899,-0.04052432382534847,-115.43487628466418,-40540.5,6752,0.6379756390841874,0.040523725302681765,0.8214514300696335,5.259467123874916,1.0844718106599962,10.203023758099352,1.016037754479772,0.463855421686747,1.1656626506024095,0.956874449937064,0.06078368025107306,1.2320963855421687,0.1990196552106551,-0.17183098591549295,0.4697081187147412,0.0002538407924448879,1.3818009839098581e-05,0.0006269349861076267
2018-10-26,0.7175383695289709,0.18510858324715615,0.8450836623425456,-0.7175383695289709,-0.8450836623425456,-0.18510858324715615,2316.0151522345104,-10495,7774.5,0.7175063861838819,0.1851009265387161,0.8450582422788561,6.466969594279849,1.4543147208121827,11.910194174757281,1.0795499852213222,0.6795646916565901,1.1867749419953597,1.0761576468423728,0.27762698720434276,1.2675063445812575,0.2449317143391254,-0.19487836107554418,0.4344507135745104,0.000271531113953854,0.0001214769573220983,0.0005343569292766513
2022-01-13,0.5986061974795679,-0.10143769968051118,0.8399831116740553,-0.5986061974795679,-0.8399831116740553,0.10143769968051118,-1350.8710718657182,-41715.5,6650,0.5985720479108004,-0.10143121845249506,0.839954740815172,4.814998107798707,0.8158085569253082,11.49868073878628,0.9484058490601976,0.38637532133676095,1.202540415704388,0.8977492451804695,-0.15212617288880015,1.2598416886543535,0.22083233037526936,-0.4968992248062015,0.5533304309969526,0.0003286114987929992,-0.00020051308657933545,0.001115195391150411
2019-11-25,0.2523139614611535,0.005796758547261327,0.5836627140974967,-0.2523139614611535,-0.5836627140974967,-0.005796758547261327,-14768.750598105938,-41265.5,-1046.5,0.2523018857468695,0.005796648827184153,0.5836381074842695,1.7817177096244254,1.0116611137553546,3.8037974683544302,0.5416891081996651,0.3446403274043759,0.7959558823529411,0.37841434367167825,0.008694623528715917,0.8753787379791859,0.21710655462922293,-0.025908479138627188,0.4158588118319662,0.0001638009205468651,2.7108888619688014e-06,0.00035468972750563987
2022-05-13,0.016174410238016423,0.0019842844670211923,0.04160340115396295,-0.016174410238016423,-0.04160340115396295,-0.0019842844670211923,-43581.534108868414,-47454,-33137.5,0.0161741890697229,0.0019842592680781894,0.04160272735738666,1.0329430305150105,1.0039764593605853,1.0868187579214195,0.3460040551005189,0.3097174020823005,0.3926207403775435,0.024260578660870332,0.0029763085836739555,0.06240194341818918,0.16976088878466347,0.13736510791366907,0.20277262520745876,5.3321855686069115e-06,6.273894716021027e-07,1.5523393154841172e-05
2023-03-29,0.09469110728394649,-0.0016331747496982176,0.46100691016781836,-0.09469110728394649,-0.46100691016781836,0.0016331747496982176,-28401.37505601397,-53039,-5099.5,0.09468847211174025,-0.0016331561950584954,0.4609923477244549,1.2262636948038934,0.9967389763221324,2.7106227106227108,0.4426448018337253,0.28320349610488316,0.7537831803522699,0.14202430940230115,-0.002449675151773352,0.6914421083802191,0.15165517772102796,-0.05157766990291262,0.3952483801295896,4.819889732822074e-05,-4.6532395511961226e-07,0.0001905873458896255
2023-10-15,0.12784305841438204,-0.05704669025632174,0.6601763409257898,-0.12784305841438204,-0.6601763409257898,0.05704669025632174,-24209.45953415208,-64015,1010.5,0.12783746130460685,-0.057045902533493974,0.6601569388114971,1.3545704434171584,0.8920640104506858,4.885405405405406,0.3914395973582126,0.09053905390539052,0.8771720613287904,0.19173835393295835,-0.0855663430420712,0.9901735696574525,0.23626519956394837,-0.041979010494752625,0.6312613156306578,8.65810334623138e-05,-2.4280106864209852e-05,0.00040725599794560644
2019-10-16,0.10451682527900971,0.06005522319374137,0.17398373983739837,-0.10451682527900971,-0.17398373983739837,-0.06005522319374137,-25103.43656020046,-32393.5,-18692.5,0.1045146969708494,0.06005411773368185,0.17397962501995518,1.2343061377584368,1.1277845777233781,1.421259842519685,0.37545870030785583,0.3326661329063251,0.4418670706305624,0.1567652619073165,0.0900776531492666,0.26095632251866085,0.22615641461396332,0.17323607799130314,0.2763613471828769,4.332754658225031e-05,2.2659294620469766e-05,7.462207645552502e-05
2023-05-03,0.5414769973909851,0.0382689556509299,0.7845203488372093,-0.5414769973909851,-0.7845203488372093,-0.0382689556509299,-3339.8033532956747,-41472.5,5744,0.5414551101585131,0.03826840817727929,0.784497543676056,4.006333187516474,1.0795834882856081,8.281618887015178,0.8875915954654813,0.39186773905272565,1.111783960720131,0.8121129091079505,0.05740086727167062,1.176673630665819,0.2128092569670022,-0.12865002115954297,0.48300220750551875,0.0002164083259338975,1.2694479782920482e-05,0.0005192101276555849
